borough,cuisine,name,rating,reduced_cuisine
Manhattan,Ethiopian,Benyam Cuisine,4.8,African
Manhattan,Mexican,Cocina Consuelo,4.8,Latin American
Manhattan,Food Court,HMarket Eatery Food Hall,5.0,Other
Manhattan,Cafes,The Avenue Cafe,5.0,Cafe & Drinks
Manhattan,Desserts,The Avenue Cafe,5.0,Desserts & Sweets
Manhattan,Breakfast & Brunch,The Avenue Cafe,5.0,American
Manhattan,Salad,Chelsea Pantry Cafe,5.0,Healthy
Manhattan,Breakfast & Brunch,Chelsea Pantry Cafe,5.0,American
Manhattan,Sandwiches,Chelsea Pantry Cafe,5.0,Sandwiches
Manhattan,Delis,Charles West Delicatesse,5.0,Sandwiches
Manhattan,Sandwiches,Charles West Delicatesse,5.0,Sandwiches
Manhattan,Food Trucks,Bismilla Indian Biryani House,5.0,Street Food
Manhattan,Indian,Bismilla Indian Biryani House,5.0,Asian
Manhattan,Hot Dogs,Bismilla Indian Biryani House,5.0,American
Manhattan,Asian Fusion,Little Manila Grill & Restaurant,5.0,Asian
Manhattan,Desserts,Bistro 280,5.0,Desserts & Sweets
Manhattan,Salad,Bistro 280,5.0,Healthy
Manhattan,Sandwiches,Bistro 280,5.0,Sandwiches
Manhattan,Cheese Shops,Léa Fromages,5.0,Other
Manhattan,Sandwiches,Léa Fromages,5.0,Sandwiches
Manhattan,Food Stands,Tamale Lady,4.8,Street Food
Manhattan,Street Vendors,Tamale Lady,4.8,Street Food
Manhattan,Food Trucks,Bashir Halal Food,5.0,Street Food
Manhattan,Bangladeshi,Bashir Halal Food,5.0,Asian
Manhattan,Bagels,Kennedy Bagel & Deli,5.0,Other
Manhattan,Delis,Kennedy Bagel & Deli,5.0,Sandwiches
Manhattan,Sandwiches,Kennedy Bagel & Deli,5.0,Sandwiches
Manhattan,Food Trucks,Atlixco Mexican Food Truck,5.0,Street Food
Manhattan,Mexican,Atlixco Mexican Food Truck,5.0,Latin American
Manhattan,Tacos,Taco Brasserie,5.0,Latin American
Manhattan,Street Vendors,Pete's Hot Dogs,4.8,Street Food
Manhattan,Hot Dogs,Pete's Hot Dogs,4.8,American
Manhattan,Burgers,Smoky Chick,5.0,American
Manhattan,Chicken Wings,Smoky Chick,5.0,Fast Food
Manhattan,Delis,87th Street Deli,5.0,Sandwiches
Manhattan,Cafes,First Class Cafe,5.0,Cafe & Drinks
Manhattan,Kosher,Haifa Restaurant,5.0,Other
Manhattan,Mexican,El Pipirin NYC,5.0,Latin American
Manhattan,Coffee & Tea,El Pipirin NYC,5.0,Cafe & Drinks
Manhattan,French,Essential By Christophe,4.8,European
